Data,QNTD Expedida,Nº dias,Dias da Semana,,Total,Media / dia,Dia+volume,79515,,Dia+Volume,Mês+Volume,Dia menor volume/dia,2104,,Dia volume Médio/dia,#N/A,,Domingo,#ERROR!
02/04/2025,2475,4,Quarta,,"10.242.033,00","47.416,82",10/07/2025,Quinta,Frequência/dia+volume =,terça-feira,julho,03/04/2025,Quinta,,#N/A,#N/A,,,
03/04/2025,2104,5,Quinta,,,,,,,,,,,,"""Dias com Volume Médio"", COUNTIFS(B:B, "">=""&(AVERAGE(B:B)-10), B:B, ""<=""&(AVERAGE(B:B)+10));",,,,
04/04/2025,2960,6,Sexta,,,,,,,,,,,,"""Dias com Menor Volume"", COUNTIF(B:B, ""<""&AVERAGE(B:B))",,,,
05/04/2025,2400,7,Sabado,,,,,,,,,,,,}),,,,
06/04/2025,3882,1,Domingo,,,,,,,,,,,,,,,,
07/04/2025,6137,2,Segunda,,,,,,,,,,,,,,,,
08/04/2025,7809,3,Terça,,,,,,,,,,,,,,,,
09/04/2025,10649,4,Quarta,,,,,,,,,,,,,,,,
10/04/2025,10911,5,Quinta,,,,,,,,,,,,,,,,
11/04/2025,10044,6,Sexta,,,,,,,,,,,,,,,,
12/04/2025,9370,7,Sabado,,,,,,,,,,,,,,,,
13/04/2025,8178,1,Domingo,,,,,,,,,,,,,,,,
14/04/2025,8845,2,Segunda,,,,,,,,,,,,,,,,
15/04/2025,16321,3,Terça,,,,,,,,,,,,,,,,
16/04/2025,16301,4,Quarta,,,,,,,,,,,,,,,,
17/04/2025,22098,5,Quinta,,,,,,,,,,,,,,,,
18/04/2025,16711,6,Sexta,,,,,,,,,,,,,,,,
19/04/2025,8158,7,Sabado,,,,,,,,,,,,,,,,
20/04/2025,14190,1,Domingo,,,,,,,,,,,,,,,,
21/04/2025,12077,2,Segunda,,,,,,,,,,,,,,,,
22/04/2025,16902,3,Terça,,,,,,,,,,,,,,,,
23/04/2025,27031,4,Quarta,,,,,,,,,,,,,,,,
24/04/2025,25757,5,Quinta,,,,,,,,,,,,,,,,
25/04/2025,26024,6,Sexta,,,,,,,,,,,,,,,,
26/04/2025,22877,7,Sabado,,,,,,,,,,,,,,,,
27/04/2025,19005,1,Domingo,,,,,,,,,,,,,,,,
28/04/2025,19199,2,Segunda,,,,,,,,,,,,,,,,
29/04/2025,29518,3,Terça,,,,,,,,,,,,,,,,
30/04/2025,31333,4,Quarta,,,,,,,,,,,,,,,,
01/05/2025,35694,5,Quinta,,,,,,,,,,,,,,,,
